stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.795862,,-71.426031,012155,,,,RESERVOIR FS ADELAIDE,0,
41.795343,,-71.426409,012150,,,,RESERVOIR OPP ADELAIDE,0,
41.735357,,-71.435014,007850,,,,POST AT BARDEN,0,
41.796019,,-71.410806,059610,,,,PRAIRIE NS EARLY,0,
41.755303,,-71.387681,008985,,,,NARR PKWAY FS 400 NARRAGANSETT PKWAY,0,
41.627133,,-71.460971,003530,,,,POST NS ESSEX,0,
41.800354,,-71.412507,059615,,,,PRAIRIE FS GALLUP,0,
41.734557,,-71.477747,007855,,,,OAKLAWN AT WALGREENS,0,
41.628846,,-71.254782,003535,,,,BRISTOL FERRY AT 531 BRISTOL FERRY,0,
41.755464,,-71.387961,008980,,,,NARRAGANSETT PKWAY FS NAUSHON,0,
41.732495,,-71.400523,007670,,,,WEST SHORE OPP DELWOOD,0,
41.730179,,-71.395608,007455,,,,WEST SHORE AT 325 WEST SHORE,0,
41.726101,,-71.491104,007325,,,,PROVIDENCE OPP OAKLAND,0,
41.729318,,-71.406021,007450,,,,WARWICK FS DIXIE,0,
41.794317,,-71.426624,011960,,,,RESERVOIR FS NARRAGANSETT,0,
41.72627,,-71.386386,007320,,,,WEST SHORE NS ROCK,0,
41.710975,,-71.403488,006105,,,,SANDY LANE OPP SOCIAL,0,
41.8059,,-71.424954,013280,,,,ELMWOOD NS WHITMARSH,0,
41.537387,,-71.291786,002480,,,,W MAIN AT 1397 W MAIN,0,
41.710862,,-71.444294,006100,,,,MAIN AVE NS GORHAM,0,
41.808174,,-71.359956,013600,,,,PAWTUCKET NS HILLSIDE,0,
41.732899,,-71.4848,007695,,,,NEW LONDON AT 1400 NEW LONDON,0,
41.570773,,-71.461408,058525,,,,POST OPP 130 POST,0,
41.732704,,-71.441609,007690,,,,JEFFERSON BLVD AT 555 JEFFERSON BLVD,0,
41.81762,,-71.415516,059030,,,,E FRANKLIN NS BROAD,0,
41.521254,,-71.424046,002245,,,,BOSTON NECK FS HOMESTEAD,0,
41.727592,,-71.44334,059035,,,,JEFFERSON BLVD AT TRAIN STATION,0,
41.817399,,-71.423302,014845,,,,WESTMINSTER AT CITIZENS BANK,0,
41.521046,,-71.285532,002240,,,,E MAIN NS FOREST,0,
41.715661,,-71.523747,006580,,,,MAIN NS MAPLE,0,
41.697092,,-71.543219,005055,,,,WASHINGTON OPP HAZARD,0,
41.943199,,-71.657526,024875,,,,VICTORY HWAY NS LAPHAM,0,
41.879326,,-71.371181,022995,,,,ARMISTICE NS ASHTON,0,
41.684817,,-71.509016,004515,,,,COWESETT OPP 242 COWESETT,0,
41.842653,,-71.445407,019080,,,,SMITH NS ACADEMY,0,
41.7156,,-71.375908,006610,,,,WEST SHORE OPP ECONOMY,0,
41.860533,,-71.467574,021045,,,,MINERAL SPRING AT 1909 MINERAL SPRING,0,
41.842265,,-71.438897,019085,,,,EATON FS QUINCY,0,
41.867452,,-71.412897,021820,,,,SMITHFIELD OPP GROSVENOR,0,
41.847545,,-71.387336,019735,,,,BLACKSTONE AT 420 BLACKSTONE,0,
41.511967,,-71.308767,001915,,,,HILLSIDE NS BEACON,0,
41.789003,,-71.500793,059920,,,,WALMART SVC RD FS CITIZENS BANK,0,
41.824089,,-71.432431,016250,,,,ATWELLS OPP KNIGHT,0,
41.479251,,-71.308596,001040,,,,BELLEVUE NS PERRY,0,
41.852944,,-71.487702,019955,,,,GEORGE WATERMAN AT FAMILY AUTO SALES,0,
41.824735,,-71.354217,016255,,,,PAWTUCKET NS OFFICE PKWAY,0,
41.850788,,-71.480143,019950,,,,WOONASQUATUCKET OPP 511 WOONASQUATUCKET,0,
41.834641,,-71.427876,018195,,,,CHALKSTONE NS ZONE,0,
41.862895,,-71.455111,021315,,,,MINERAL SPRING FS ANDOVER,0,
41.831398,,-71.361503,017385,,,,N BROADWAY NS DUNBAR,0,
41.862861,,-71.487981,021310,,,,WATERMAN OPP SAWIN,0,
41.73032,,-71.282474,007520,,,,MAIN NS CHILD,0,
41.482704,,-71.540456,050685,,,,KINGSTOWN OPP W INDEPENDENCE WAY,0,
41.833143,,-71.473695,017905,,,,GREENVILLE OPP LEE,0,
41.730023,,-71.406395,007525,,,,WARWICK OPP GLENDALE,0,
41.50376,,-71.45929,001685,,,,RT 1 NS WALMSLEY LN,0,
41.846027,,-71.432809,050475,,,,HUXLEY FS ADMIRAL,0,
41.710531,,-71.441963,006030,,,,MAIN AVE NS GERTRUDE,0,
41.516108,,-71.312361,002060,,,,MAPLE AT HEAD START CENTER,0,
41.710384,,-71.405581,006035,,,,SANDY LANE FS CRANE,0,
41.76663,,-71.425,009805,,,,ELMWOOD OPP BEDSON,0,
41.516748,,-71.423412,002065,,,,BOSTON NECK OPP CHARLOTTE,0,
41.657236,,-71.265835,003820,,,,FERRY RD NS GRISWOLD,0,
41.824554,,-71.409645,016385,,,,WEYBOSSET NS POST OFFICE CT,0,
41.828413,,-71.363296,017250,,,,N BROADWAY NS MERRILL,0,
41.829991,,-71.387948,017255,,,,WAYLAND NS S ANGELL,0,
41.483126,,-71.552351,050680,,,,KINGSTOWN NS TLC COFFEE ROASTERS,0,
41.775981,,-71.421745,010525_merged_950043,,,,ELMWOOD FS PARK,0,
41.887238,,-71.397433,023540,,,,DEXTER NS COWDEN,0,
41.720034,,-71.399727,006915,,,,CHURCH AT 642 CHURCH,0,
41.870177,,-71.53166,021950,,,,PUTNAM PIKE NS SANDERSON,0,
41.862238,,-71.411707,021225,,,,SMITHFIELD OPP 114 SMITHFIELD,0,
41.825977,,-71.377837,016675,,,,MASSASOIT NS BIRCH,0,
41.849658,,-71.433109,019880,,,,DOUGLAS FS SHERWOOD,0,
41.714488,,-71.515137,006440,,,,PROVIDENCE OPP 186 PROVIDENCE,0,
41.720272,,-71.393944,006925,,,,CHURCH OPP KILLEY,0,
41.849621,,-71.460466,019885,,,,SMITH OPP WELLESLEY,0,
41.719746,,-71.377379,006920,,,,WEST SHORE OPP HART,0,
41.832747,,-71.43837,017810,,,,CHALKSTONE NS RIVER,0,
41.697014,,-71.522072,004900,,,,MAIN NS WEST WARWICK,0,
41.855286,,-71.42066,020575,,,,CHARLES NS AMBOY,0,
41.441449,,-71.489655,000405,,,,MAIN NS HOLLEY,0,
41.852269,,-71.445388,020160,,,,ADMIRAL OPP WINONA,0,
41.688296,,-71.566786,004670,,,,S MAIN NS CADY,0,
41.558025,,-71.25534,002665,,,,E MAIN NS UNION,0,
41.736528,,-71.298415,051055,,,,COUNTY FS POLICE COVE PARK N RIDE,0,
41.557389,,-71.443037,002660,,,,BOSTON NECK OPP DUCK COVE,0,
41.713481,,-71.380524,006320,,,,CHURCH FS ALPINE,0,
41.866278,,-71.424406,021550,,,,CHARLES FS OBED,0,
41.49467,,-71.318955,001465,,,,THIRD AT WALNUT,0,
41.876297,,-71.379077,057180,,,,SUMMIT NS WALCOTT,0,
41.866528,,-71.39122,021555,,,,PAWTUCKET NS KNOWLES,0,
41.495043,,-71.456464,001460,,,,TOWER HILL PARK N RIDE,0,
41.39026,,-71.47348,029146,,,,OCEAN AT SCARBOROUGH BEACH,0,
41.859728,,-71.447797,020975,,,,DOUGLAS FS CUSHING,0,
41.833734,,-71.464371,056630_merged_950018,,,,CHALKSTONE NS ROWLEY,0,
41.389328,,-71.475454,029145,,,,OCEAN FS DESANO,0,
41.859581,,-71.4741,020970,,,,MINERAL SPRING NS REYNOLDS,0,
41.534557,,-71.292583,002460,,,,W MAIN AT MIDDLETOWN SQUARE PLAZA,0,
41.37405,,-71.498932,029141,,,,SAND HILL COVE AT ROGER WHEELER BEACH,0,
41.699454,,-71.460283,055755,,,,GREENWICH AVE NS CENTREVILLE RD,0,
41.777483,,-71.40078,010630,,,,WARWICK NS BARTLETT,0,
41.852407,,-71.466114,020150,,,,SMITH FS TURCONE,0,
41.511545,,-71.318059,001865,,,,CONNELL  HWAY AT NEWPORT ADULTS VIDEO,0,
41.854204,,-71.488097,020155,,,,GEORGE WATERMAN OPP BRADFORD,0,
41.992711,,-71.520976,030490,,,,PROVIDENCE NS BROAD,0,
41.829355,,-71.462849,017165,,,,MANTON OPP BALTIMORE,0,
41.774304,,-71.43724,010380,,,,PONTIAC AT CITGO GAS,0,
41.906501,,-71.40356,056030,,,,LONSDALE NS FRONT,0,
41.845026,,-71.397022,019400,,,,HOPE FS DANA,0,
41.832642,,-71.451079,017725,,,,CHALKSTONE NS WINTHROP,0,
41.832744,,-71.446578,017720,,,,CHALKSTONE NS LAWN,0,
41.827539,,-71.352674,016925,,,,PAWTUCKET AVE OPP BASEBALL FIELD,0,
41.826873,,-71.639343,016920,,,,DANIELSON PIKE NS ST MARY,0,
41.930237,,-71.423162,024695,,,,MENDON FS MARTIN,0,
41.840617,,-71.440223,018855,,,,SMITH NS RIVER,0,
41.855558,,-71.420856,020370,,,,CHARLES OPP AMBOY,0,
41.437213,,-71.500964,000315,,,,MAIN AT 396 MAIN,0,
41.840358,,-71.48448,018850,,,,GEORGE WATERMAN AT 33 GEORGE WATERMAN,0,
